date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:39	135813/135813	---M-Z	200	added ('OK')	text/html	etag:W/%22a25843cc10c5a829d99225630285b244%22	https://www.archxilla.com/	C:/My%20Web%20Sites/Portfolio%20Site/www.archxilla.com/index.html	(from )
11:56:39	502/502	---M-Z	200	added ('OK')	text/plain	date:Sat,%2001%20Aug%202026%2022:15:02%20GMT	https://www.archxilla.com/robots.txt		(from )
11:56:40	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Mon,%2003%20Aug%202026%2015:56:38%20GMT	http://static1.squarespace.com/static/62f2a61a63fd070566a92dd6/t/630d6d69f803c15a3273e92e/1661824361956/CC-Preview-Image.png?format=1500w	C:/My%20Web%20Sites/Portfolio%20Site/static1.squarespace.com/static/62f2a61a63fd070566a92dd6/t/630d6d69f803c15a3273e92e/1661824361956/CC-Preview-Image.026f7.delayed	(from https://www.archxilla.com/)
11:56:41	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/My%20Web%20Sites/Portfolio%20Site/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.archxilla.com/)
11:56:42	3682/3682	---M-Z	200	added ('OK')	text/javascript	etag:%22129faf6795de47f63bca0115eaf5e064%22	http://assets.squarespace.com/universal/scripts-compressed/visitor-site-error-reporter-949c5a26a5ec79fe-min.en-US.js	C:/My%20Web%20Sites/Portfolio%20Site/assets.squarespace.com/universal/scripts-compressed/visitor-site-error-reporter-949c5a26a5ec79fe-min.en-US.js	(from https://www.archxilla.com/)
11:56:42	17283/17283	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2003%20Aug%202026%2015:56:40%20GMT	http://use.typekit.net/ik/pknt4cjpKzF_f9zayn2Hfg6HFooo-ZqFjdWgK0Dh8qqfecSJXnX1IyvhF2jtFRZLFR4cwcIhwAIhwhZqw2S3FQjhjQqkZebhe6MKghsySe8cZWJ7f6RWK3IbMg6QJMJ7f6RPK3IbMg6YJMJ7f6RsK3IbMg64JMJ7f6RjK3IbMg6sJMHbMZW2vCGe.js	C:/My%20Web%20Sites/Portfolio%20Site/use.typekit.net/ik/pknt4cjpKzF_f9zayn2Hfg6HFooo-ZqFjdWgK0Dh8qqfecSJXnX1IyvhF2jtFRZLFR4cwcIhwAIhwhZqw2S3FQjhjQqkZebhe6MKghsySe8cZWJ7f6RWK3IbMg6QJMJ7f6RPK3IbMg6YJMJ7f6RsK3IbMg64JMJ7f6RjK3IbMg6sJMHbMZW2vCGe.2	(from https://www.archxilla.com/)
11:56:46	50638/50638	---M-Z	200	added ('OK')	text/javascript	etag:%22df34fe79e6fd6ca0846b307d65abed68%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-5ddc9dd918fb7eac-min.en-US.js	C:/My%20Web%20Sites/Portfolio%20Site/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-5ddc9dd918fb7eac-min.en-US.js	(from https://www.archxilla.com/)
11:56:47	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/My%20Web%20Sites/Portfolio%20Site/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.archxilla.com/)
11:56:49	91769/91769	---M-Z	200	added ('OK')	text/javascript	etag:%22cd86629dbe7572077671ded5ed068291%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-22bdf933fb74be0d-min.en-US.js	C:/My%20Web%20Sites/Portfolio%20Site/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-22bdf933fb74be0d-min.en-US.js	(from https://www.archxilla.com/)
11:56:52	857800/857800	---M-Z	200	added ('OK')	text/javascript	etag:%22f1003a24d9c6b098e6429062b9774997%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-a5cfdec1ae227f33-min.en-US.js	C:/My%20Web%20Sites/Portfolio%20Site/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-a5cfdec1ae227f33-min.en-US.js	(from https://www.archxilla.com/)
11:57:00	246523/246523	---M-Z	200	added ('OK')	text/javascript	etag:%22c0cb5e54c4ced50989aa4959fc311b03%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-784b947826b4c445-min.en-US.js	C:/My%20Web%20Sites/Portfolio%20Site/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-784b947826b4c445-min.en-US.js	(from https://www.archxilla.com/)
11:57:07	120390/120390	---M-Z	200	added ('OK')	text/javascript	etag:%22c90d4d5a395d4cec4e0050e227a1b680%22	http://assets.squarespace.com/universal/scripts-compressed/performance-84b4b902afb478d9-min.en-US.js	C:/My%20Web%20Sites/Portfolio%20Site/assets.squarespace.com/universal/scripts-compressed/performance-84b4b902afb478d9-min.en-US.js	(from https://www.archxilla.com/)
11:57:10	15249/15249	---MCZ	200	added ('OK')	text/css	etag:W/%2239b8c1bddf258d55158dc841c033b54f%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.socialLinks/0f5f5fc2-9e98-46f5-93ab-c3d71ed3225b_582/website.components.socialLinks.styles.css	C:/My%20Web%20Sites/Portfolio%20Site/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.socialLinks/0f5f5fc2-9e98-46f5-93ab-c3d71ed3225b_582/website.components.socialLinks.styles.css	(from https://www.archxilla.com/)
11:57:12	3034/3034	---MCZ	200	added ('OK')	text/css	etag:W/%22136a1f72ef0e558c15731850f9a81325%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/website.components.imageFluid.styles.css	C:/My%20Web%20Sites/Portfolio%20Site/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/website.components.imageFluid.styles.css	(from https://www.archxilla.com/)
11:57:14	1341/1341	---MCZ	200	added ('OK')	text/css	etag:W/%226742944ac5882fc7fef05458ccde9666%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.button/f99972d9-fa37-4b45-afd1-75e20cdc065a_974/website.components.button.styles.css	C:/My%20Web%20Sites/Portfolio%20Site/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.button/f99972d9-fa37-4b45-afd1-75e20cdc065a_974/website.components.button.styles.css	(from https://www.archxilla.com/)
11:57:20	741505/741505	---M-Z	200	added ('OK')	text/javascript	etag:%22693828c56e09dacca7802a5849df69db%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-149cb9ab67a431ec-min.en-US.js	C:/My%20Web%20Sites/Portfolio%20Site/assets.squarespace.com/universal/scripts-compressed/common-vendors-149cb9ab67a431ec-min.en-US.js	(from https://www.archxilla.com/)
11:57:29	989959/989959	---M-Z	200	added ('OK')	text/javascript	etag:%22bbf5c168c3deb641b2c39e345e317061%22	http://assets.squarespace.com/universal/scripts-compressed/common-440ca4d32d89ff30-min.en-US.js	C:/My%20Web%20Sites/Portfolio%20Site/assets.squarespace.com/universal/scripts-compressed/common-440ca4d32d89ff30-min.en-US.js	(from https://www.archxilla.com/)
11:57:30	404571/404571	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Aug%202026%2015:56:39%20GMT	https://images.squarespace-cdn.com/content/62f2a61a63fd070566a92dd6/923563ad-4789-42e6-bad6-33063c0fa8af/CC-Preview-Image.png?format=1500w&content-type=image%2Fpng	C:/My%20Web%20Sites/Portfolio%20Site/images.squarespace-cdn.com/content/62f2a61a63fd070566a92dd6/923563ad-4789-42e6-bad6-33063c0fa8af/CC-Preview-Image2acd.png	(from https://www.archxilla.com/)
11:57:30	118/118	---M--	200	added ('OK')	text/css	etag:%223e803952a9aa015706d2576f5948a0f0%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.html/51f8b177-e779-41f7-a632-53f2040db8df_804/website.components.html.styles.css	C:/My%20Web%20Sites/Portfolio%20Site/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.html/51f8b177-e779-41f7-a632-53f2040db8df_804/website.components.html.styles.css	(from https://www.archxilla.com/)
11:57:31	21745/21745	---MCZ	200	added ('OK')	application/javascript	etag:W/%22de2604045a7e784ef98e73da5e2a84c3%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/8458.js	C:/My%20Web%20Sites/Portfolio%20Site/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/8458.js	(from https://www.archxilla.com/)
11:57:31	10291/10291	---MCZ	200	added ('OK')	application/javascript	etag:W/%22543883c7a1ce19fed82f68d8d4c499fc%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/9882.js	C:/My%20Web%20Sites/Portfolio%20Site/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/9882.js	(from https://www.archxilla.com/)
11:57:31	12214/12214	---MCZ	200	added ('OK')	application/javascript	etag:W/%2227ebd12bb636e5641d2a9f784359f616%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/image-effect-refracted-lines.js	C:/My%20Web%20Sites/Portfolio%20Site/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/image-effect-refracted-lines.js	(from https://www.archxilla.com/)
11:57:32	8949/8949	---MCZ	200	added ('OK')	application/javascript	etag:W/%2234a8589192e66a9164e07686eae4345b%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/image-effect-liquid.js	C:/My%20Web%20Sites/Portfolio%20Site/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/image-effect-liquid.js	(from https://www.archxilla.com/)
11:57:32	945/945	---M--	200	added ('OK')	application/javascript	etag:%2264596df7ea2115c1282cde3f674cdd4a%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/website.components.imageFluid.shared.constants.js	C:/My%20Web%20Sites/Portfolio%20Site/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/website.components.imageFluid.shared.constants.js	(from https://www.archxilla.com/)
11:57:32	12559/12559	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d5609a1f561683800690234c95276697%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.html/51f8b177-e779-41f7-a632-53f2040db8df_804/website.components.html.visitor.js	C:/My%20Web%20Sites/Portfolio%20Site/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.html/51f8b177-e779-41f7-a632-53f2040db8df_804/website.components.html.visitor.js	(from https://www.archxilla.com/)
11:57:32	37899/37899	---MCZ	200	added ('OK')	application/javascript	etag:W/%2297c6c497bd29612c97fcd34c46524e09%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/6644.js	C:/My%20Web%20Sites/Portfolio%20Site/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/6644.js	(from https://www.archxilla.com/)
11:57:33	13771/13771	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f6cbb4beadabcafb67cda09c7edb89fa%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.socialLinks/0f5f5fc2-9e98-46f5-93ab-c3d71ed3225b_582/website.components.socialLinks.visitor.js	C:/My%20Web%20Sites/Portfolio%20Site/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.socialLinks/0f5f5fc2-9e98-46f5-93ab-c3d71ed3225b_582/website.components.socialLinks.visitor.js	(from https://www.archxilla.com/)
11:57:33	8475/8475	---MCZ	200	added ('OK')	application/javascript	etag:W/%225132c53b1768cffd84ea2e4ab7965a18%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/image-effect-film-grain.js	C:/My%20Web%20Sites/Portfolio%20Site/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/image-effect-film-grain.js	(from https://www.archxilla.com/)
11:57:33	12974/12974	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dcaa22959e47a64b0a3ceb441596ec7f%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/8018.js	C:/My%20Web%20Sites/Portfolio%20Site/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/8018.js	(from https://www.archxilla.com/)
11:57:34	29975/29975	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b9515d2e146b031dbcbdcd626bff995b%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/website.components.imageFluid.visitor.js	C:/My%20Web%20Sites/Portfolio%20Site/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/website.components.imageFluid.visitor.js	(from https://www.archxilla.com/)
11:57:34	3052/3052	---MCZ	200	added ('OK')	application/javascript	etag:W/%22027213fe5c93d5b11e78b86766f550be%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/image-effect-refracted-circles.js	C:/My%20Web%20Sites/Portfolio%20Site/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/image-effect-refracted-circles.js	(from https://www.archxilla.com/)
11:57:34	12640/12640	---MCZ	200	added ('OK')	application/javascript	etag:W/%2291b9041ead223d7e5a2419b31fb6e6e5%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.button/f99972d9-fa37-4b45-afd1-75e20cdc065a_974/website.components.button.visitor.js	C:/My%20Web%20Sites/Portfolio%20Site/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.button/f99972d9-fa37-4b45-afd1-75e20cdc065a_974/website.components.button.visitor.js	(from https://www.archxilla.com/)
11:57:35	6266/6266	---MCZ	200	added ('OK')	application/javascript	etag:W/%2286bedd9b8801c4dd82bee23092ebb1d2%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/image-effect-parallax.js	C:/My%20Web%20Sites/Portfolio%20Site/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f8e2778b-feb1-4515-9cc3-98733b7c4f28_791/image-effect-parallax.js	(from https://www.archxilla.com/)
